Filename,Random Forest,SVR Linear,SVR Poly,SVR RBF,KNN,Gradient Boosting,AdaBoost,Random Number,O0,O1,O2,O3
00201.c,-0.24275640968620776,0.027260390235732956,-0.21962464269833726,0.003043192335522122,-0.1085859992993614,0.004947523163453861,-0.17527588539804456,-0.005053600489376879,-0.08901818337475717,0.018759864552290804,0.015399104819836735,0.0
00202.c,0.12677495676010833,-0.0061126782625722026,0.03985367620663773,0.09872966746075776,-0.2017318343504226,-0.17938113761707405,0.21120650066899455,0.15500439904709068,0.12760479065365662,0.12728253108377116,0.07682405769670071,0.0
00203.c,0.3218999965800068,0.22069121304249875,0.20205125269470856,0.3092459578146762,0.2724784331567945,0.22008485560378646,0.07466458049591247,-0.03424367516195732,-0.04100958014953597,-0.04490816373141983,0.07762315583212827,0.0
00204.c,0.1710072531357356,0.13824733317101992,0.19630534253804133,-0.02080003437478555,0.06691116927951858,0.030291826942549515,0.1496193063558449,0.11400095953971034,-0.09284607720799913,0.09413603603900406,0.04503007546109509,0.0
00205.c,0.1489774347844575,0.10782517138353852,0.1463266890189281,0.14573576379383282,0.08898134529542022,0.20271491462971739,0.18147799457590033,0.07299534605516929,0.10909870815679402,-0.009023812365359398,-0.06303072436049208,0.0
00206.c,-0.09926391426859543,0.01920535133651182,0.16604631094580463,-0.011354538445357913,0.17823956238584399,0.04819169658194557,0.0632565999132067,-0.014602447231585613,0.0507971878006307,0.06267255202299316,-0.12527695927351268,0.0
00207.c,0.14911386136967186,0.22961812411167576,0.1992669930362826,0.12055485888411477,0.055299358345303085,0.13346572389525466,0.1165158785640205,0.17815161493086795,0.1665127671677522,0.022764095336772323,0.0010600820057197185,0.0
00208.c,-0.1201677893578427,-0.10306444253195289,-0.015053425675112812,-0.13748359401120164,-0.4105421128663746,-0.6318360892128787,-0.1522100851281404,-0.20609786065451466,-0.3269619550283929,-0.4026818597949604,-0.3990886227191249,0.0
00209.c,-0.17040121914363462,-0.060904521515312324,-0.39939272936075476,-0.30003671545502913,-0.3012994294748619,-0.3035194653815465,-0.06940763956298084,-0.22040320262833418,-0.10462940556850273,-0.09671012750143644,-0.09857375475845226,0.0
00210.c,-0.020297381242200603,0.21884374223892908,0.267797974532956,0.13226672022124994,0.04732014705025648,0.2031597469852551,0.17610966220753219,0.046444823959748215,0.15437144600440905,-0.04852161142061708,0.015183785225680445,0.0
00211.c,0.03824330902898431,0.18767717785194438,0.2798445946245114,0.061497353531847626,0.3099346669791621,0.18173131509139737,0.2459611159775876,0.19341416515288512,0.10211727560783489,0.25005124790791283,0.06512186355547259,0.0
00212.c,0.08522752994082934,0.2232226294273216,0.1796470806914426,-0.01266011104824056,0.034411655800750986,0.17152354509455855,0.07172983329172264,0.008958756605177138,-0.1293738456802352,-0.048287769673620994,0.02003380454507277,0.0
00213.c,-0.24509092767483254,0.021646198256253087,-0.1365990731990829,-0.23472760364808443,-0.40560126693440457,-0.10704641829757186,-0.1425711773227521,-0.08289276983579257,-0.29764758409851083,-0.1751646910615604,-0.33516711826473444,0.0
00214.c,0.32433146274265623,0.30354539294939265,0.26391497928230573,0.28343389134864216,0.13018668587563562,0.21732289347417671,0.23903884243234824,0.23064924850314097,0.22042031204576018,0.08278001013540232,-0.0006061982240964347,0.0
00215.c,0.18498944188704552,0.11660961660339057,0.057323807283791654,0.24835124765683111,0.1890710061928667,0.08397557273222218,0.023595261746553655,0.17314871201624008,0.022918954068060923,0.16694814874848302,0.15983547704076645,0.0
00216.c,0.09324861508026255,0.08662000895655528,0.02068736698712443,0.19905910806250568,0.0023650063429491103,0.032681254574187774,0.10632926848607702,-0.010414320224521574,0.15874763516958132,0.19069223832981932,0.052264200486702,0.0
00217.c,0.08257901846457437,0.11504741797068672,0.27665330222755524,0.26405140646063613,0.029700293705701698,0.025060698408056567,0.025205219396443854,0.1370320494220322,0.12372268530930845,0.14270604350175062,0.06165458126053452,0.0
00218.c,0.09292221077809111,0.1321629506147114,0.09921100428110802,-0.03806679355782269,0.26553606823326165,0.08728046572789942,-0.02740254603214969,0.09893512434425325,-0.23342831819475962,-0.25760471983299915,0.0662602873894257,0.0
00219.c,0.14041705263188348,0.06409180895715053,0.24683642704093314,0.2410087177282222,0.10858405415309345,0.057507713995535004,0.09269273555680689,0.015642177337156532,0.05067936494922801,0.1046685164683468,0.025026106221012985,0.0
00220.c,0.22698339538089643,0.3123327049391558,0.21355747003478556,0.16286973028169338,0.1662030395440665,0.166986738490859,0.29800460888717795,0.2175284749910673,0.15937571405148873,0.13507780111831905,0.06598229462743363,0.0
nestedLoop.c,0.0393677209902253,0.07228191101188502,0.1147286010680523,0.010065796968782995,-0.06419926273388042,-0.05557666921477434,0.16983530226906784,0.06297506999241934,-0.21662670785887161,-0.11905825482278594,0.1262620244286717,0.0
recursion.c,-0.32949397411134373,-0.08672585991684988,-0.1598002836685247,-0.29446964952440324,-0.24162606617606128,-0.22316984257523684,-0.2368391914027171,-0.08166514963456568,-0.33230641368137315,-0.2019049354210206,-0.08656806511026208,0.0
select.c,0.27109460633551224,0.18883289989460791,0.28411994451433914,0.04586846383275979,-0.11774891552815317,0.02053588254712627,0.11281189083947615,0.18016980308324193,0.07833739585909798,0.006074467778198083,0.1651055371312063,0.0
test10.c,-0.25731473731077814,-0.006532899901688222,0.0016115194662605446,-0.06089544636580681,-0.5164151607725394,-0.21592092200239443,-0.43461585690981286,-0.2629291690420855,-0.2665405853739789,-0.3556781076503982,-0.3245751111241107,0.0
test11.c,0.11980599252268039,0.0953379422339753,0.1253714472577722,0.12052152784033608,0.06856281487631678,0.009397630334991997,-0.23465660335317448,0.02666798355656793,-0.02410647626570666,-0.10198297509612102,-0.11497379792153255,0.0
test12.c,-0.1777530230993114,-0.22749350902262602,-0.03744412756818788,-0.48781708379856514,-0.3559297817976868,-0.08602008259184296,-0.26301684057217445,-0.04774497478553211,-0.2624443427713986,-0.2274117604326938,0.00983696262016618,0.0
test13.c,0.2100858507761418,0.18560901725246684,0.18134695007518778,0.16809834953552621,0.1576423425944023,0.14133414925652762,0.15388154126393938,-0.2861416647066745,-0.09735834700455466,-0.0679773021866656,-0.13583993177495676,0.0
test1.c,0.2293000229572116,0.04745618330944661,0.18569666730790094,-0.07931397268079599,-0.13744107546647702,0.1818455633842708,-0.03466079718092414,-0.04193272695070195,-0.04286084971758282,0.08013137753644209,0.07886971175568809,0.0
test2.c,-0.0529226821414885,-0.052848603196596435,-0.4959679163722987,-0.3236518823756656,-0.2597596408988396,-0.0017274711939115174,0.00784055748298864,-0.11008470607991151,-0.40732814812555324,-0.2376009374657645,-0.06275542344729845,0.0
test3.c,0.08725194502464224,0.11786067562203542,0.10177328189516624,-0.05479854519721448,-0.061084268889604436,-0.012616137329631995,0.1572379615620356,0.12711110988698254,-0.03474824162649621,0.06592725742670083,0.06953629874635642,0.0
test4.c,-0.0930479617134865,0.22364088378980962,0.2069262595426133,0.10768625157449625,0.048309960543606034,-0.0016768138946740463,0.12723406866345852,0.22851888948141255,0.011434898747761425,0.12061090247602807,0.1338210150475245,0.0
test5.c,0.056001249099980284,0.043540885226021925,-0.0871348331954407,0.13449925810039895,-0.2409240596338072,-0.1341840466858405,-0.13368807757531598,0.08159302371888197,-0.04012672243329752,-0.0684115509511863,0.03341155259443807,0.0
test6.c,-0.052240036966985426,0.047644919206060996,0.07699533265226688,0.10116426719997397,-0.0790676700058986,-0.03054687525999288,-0.033720975945417044,-0.11907231185788657,-0.01897278414965263,-0.00395776513304532,-0.00454001251061386,0.0
test7.c,0.22476336939717304,0.11854622378636373,0.12859304848767744,0.04313089531175194,-0.07005368762039911,0.10406024231330284,-0.012890532978900218,0.10024733571685765,0.08980076028918764,0.01931102985802513,0.2043935947827622,0.0
test8.c,-0.09661258308083782,0.05495428137272843,-0.0316433659248089,-0.17205194013081868,-0.1968434613243045,-0.22290016865724607,-0.2573319219410429,-0.0849135458053518,0.13321810623123012,0.10570508622067376,-0.06608355210682422,0.0
test9.c,0.10849994825568639,0.0989886277511539,0.164865441511269,0.06898085661061722,0.15545644755388846,0.15484848282605373,0.08386726731685194,-0.027954108963014934,0.020083213695709184,-0.03351617340167524,0.1531377739706144,0.0
toy.c,0.12213499930244848,0.013733608721449023,0.10500670582754901,-0.09540221794330668,0.17113906222755618,0.1683120742205669,-0.13205248910056044,0.10131567623160623,-0.021618224660153406,-0.13370639992321912,0.08592643379499253,0.0
