filename,Best 5 Times,Best 5 Opt Passes
fft1k.c,"[0.00142626091837883, 0.0015492253005504608, 0.0017008818686008453, 0.0019443519413471222, 0.002217259258031845]","[118, 70, 116, 120, 86]"
sqrt.c,"[0.0011573731899261475, 0.0014709420502185822, 0.0016485750675201416, 0.0016641169786453247, 0.0016990453004837036]","[67, 74, 81, 76, 83]"
matmul.c,"[0.0014955885708332062, 0.0016266480088233948, 0.001665804535150528, 0.001982472836971283, 0.002026379108428955]","[71, 105, 118, 89, 47]"
test4.c,"[0.024486124515533447, 0.024815816432237625, 0.025045357644557953, 0.025276117026805878, 0.025298919528722763]","[90, 111, 119, 88, 84]"
test5.c,"[0.001497998833656311, 0.0015205219388008118, 0.001567929983139038, 0.0017559118568897247, 0.001850314438343048]","[26, 81, 120, 60, 101]"
jfdctint.c,"[0.0012949779629707336, 0.0015113428235054016, 0.0016800686717033386, 0.00185326486825943, 0.0019451752305030823]","[42, 83, 116, 97, 92]"
minver.c,"[0.0011863745748996735, 0.0013318844139575958, 0.0018496960401535034, 0.0018553398549556732, 0.0019114241003990173]","[109, 116, 102, 113, 107]"
qsort-exam.c,"[0.0012017562985420227, 0.0015059113502502441, 0.0017043203115463257, 0.0019677728414535522, 0.002000924199819565]","[81, 112, 107, 83, 103]"
adpcm-test.c,"[0.0038448795676231384, 0.0038500316441059113, 0.0038919933140277863, 0.003918461501598358, 0.003924179822206497]","[4, 50, 108, 111, 118]"
qurt.c,"[0.0013678409159183502, 0.0015455707907676697, 0.0017364583909511566, 0.0018222108483314514, 0.0019043460488319397]","[56, 84, 116, 62, 92]"
bs.c,"[0.001242171972990036, 0.0015846937894821167, 0.0016816109418869019, 0.0017577745020389557, 0.0018264278769493103]","[120, 56, 88, 50, 59]"
fir.c,"[0.0010923780500888824, 0.0015427172183990479, 0.0018443837761878967, 0.002007458359003067, 0.0021125972270965576]","[61, 120, 110, 97, 104]"
crc.c,"[0.0011109933257102966, 0.001485537737607956, 0.001528184860944748, 0.0017329417169094086, 0.0017486102879047394]","[113, 81, 99, 70, 105]"
test3.c,"[0.0014418140053749084, 0.0014435574412345886, 0.001513216644525528, 0.001798965036869049, 0.0020193681120872498]","[45, 53, 93, 116, 86]"
test2.c,"[0.0014837980270385742, 0.0017648451030254364, 0.0019247643649578094, 0.0020017847418785095, 0.002012297511100769]","[80, 52, 82, 111, 105]"
test1.c,"[0.001327812671661377, 0.0014460235834121704, 0.0018324702978134155, 0.002018548548221588, 0.0020298361778259277]","[32, 110, 119, 95, 103]"
simple.c,"[0.004045069217681885, 0.004280533641576767, 0.004327923059463501, 0.004413347691297531, 0.004470504820346832]","[48, 79, 105, 97, 113]"
ludcmp.c,"[0.0014290399849414825, 0.001463036984205246, 0.001550830900669098, 0.0016530640423297882, 0.002099122852087021]","[25, 33, 118, 112, 92]"
lms.c,"[0.001461464911699295, 0.001584477722644806, 0.0017482303082942963, 0.0019319355487823486, 0.0021691247820854187]","[45, 60, 102, 113, 61]"
fft1.c,"[0.0013039559125900269, 0.0014784224331378937, 0.0017517022788524628, 0.0019326098263263702, 0.0021086707711219788]","[93, 109, 94, 99, 65]"
fibcall.c,"[0.0014813430607318878, 0.0018459074199199677, 0.001968447118997574, 0.0020622722804546356, 0.0020633526146411896]","[58, 116, 86, 81, 85]"
insertsort.c,"[0.0015623457729816437, 0.0017118379473686218, 0.0019790716469287872, 0.0020045898854732513, 0.002025175839662552]","[27, 40, 111, 84, 88]"
